theta1,theta2,theta3,theta4,theta5,theta6,theta7,x,y,phi
2.32,-2.26,1.18,0.38,-0.63,1.45,0.5,-1.51,11.05,168.45
1.46,-3.03,-0.7,0.56,-1.26,-0.81,1.48,-7.81,-5.21,-131.78
1.75,-0.82,0.12,0.83,-1.24,-0.09,1.12,5.42,14.3,95.68
2.65,-0.9,-0.03,2.09,-0.24,-0.84,-0.71,-10.63,6.78,115.74
1.41,-2.04,0.46,2.73,-1.19,-0.94,-1.08,7.56,3.92,-37.24
0.61,-1.43,-0.19,1.02,-2.7,-1.05,-0.26,1.64,-0.28,-229.18
3.13,-1.3,1.51,1.79,-2.53,-0.58,-0.62,-7.38,5.67,80.21
2.58,-1.34,0.87,2.2,-1.32,-1.16,-2.88,-5.43,4.17,-60.16
2.52,-1.84,-0.45,0.24,-2.99,-1.49,-2.3,3.43,5.12,-361.54
0.48,-2.09,-0.21,2.55,-0.6,-0.49,-3.05,5.77,-1.99,-195.38
0.63,-1.63,1.1,1.29,-0.45,1.28,-0.24,5.28,8.38,113.45
0.76,-1.97,1.04,0.99,-0.4,-1.48,-2.62,8.22,0.91,-210.85
2.76,-2.58,-0.8,3.1,-1.07,0.31,-0.89,1.92,8.25,47.56
1.17,-2.95,-0.49,2.65,-1.78,1.12,1.17,5.57,-2.34,50.99
0.0,-2.47,0.98,0.38,-1.6,0.54,-2.0,-3.11,-7.26,-238.92
2.36,-0.37,-0.97,0.03,-2.26,-0.87,-1.23,-3.04,4.24,-189.65
0.76,-1.45,-1.15,1.72,-0.7,-0.27,-1.57,6.2,-7.78,-152.41
2.67,-0.37,-0.44,0.81,-1.79,1.16,-1.03,-5.04,12.81,57.87
0.59,-0.23,-0.31,1.67,-1.44,-0.33,-0.14,13.9,4.96,-10.89
0.07,-1.75,0.12,0.82,-1.16,-0.41,0.14,0.19,-12.77,-124.33
3.13,-2.26,0.59,1.85,-0.79,-0.42,0.02,-7.68,9.75,121.47
2.27,-0.33,0.67,0.43,-2.85,1.06,-1.27,-1.41,8.56,-1.15
1.93,-1.08,1.3,1.08,-0.28,0.86,-1.27,-9.56,6.43,145.53
2.85,-1.3,1.47,1.21,-2.66,0.42,1.39,-9.43,5.5,193.66
2.54,-0.88,-1.4,3.12,-1.11,0.85,0.15,-8.88,5.6,187.36
2.39,-3.12,-0.63,2.96,-0.2,1.25,-3.04,1.02,2.79,-22.35
0.6,-1.61,-0.17,2.6,-0.44,0.45,-0.7,8.33,5.67,41.83
1.31,-2.25,0.46,2.92,-2.89,-0.7,-3.13,4.65,-0.24,-245.23
2.25,-0.55,-1.32,1.65,-0.92,-0.54,-2.82,0.97,9.24,-128.92
1.33,-0.89,0.91,1.23,-0.56,0.95,-3.14,0.2,9.52,-9.74
1.95,-0.64,1.54,2.31,-1.79,0.53,-1.9,-6.88,3.19,114.59
1.51,-0.72,-0.11,0.19,-1.04,-0.73,-0.92,8.87,2.95,-104.28
1.94,-2.43,0.91,1.03,-3.07,0.13,-2.95,3.29,2.08,-254.39
1.21,-0.65,1.22,0.84,-2.82,1.23,-1.59,6.17,7.68,-32.09
1.25,-2.16,-0.89,2.34,-1.35,-0.46,-2.8,4.87,-2.95,-233.19
1.21,-2.73,1.54,0.25,-3.01,0.73,-1.62,0.35,-1.51,-207.98
1.33,-2.1,-1.56,3.02,-1.01,-1.08,0.65,7.23,-4.49,-42.97
1.7,-2.86,-0.4,1.23,-0.47,0.7,0.47,9.63,-4.26,21.2
1.87,-1.86,0.68,0.59,-0.59,1.04,1.55,3.46,10.12,187.93
0.69,-1.53,1.24,0.59,-2.35,-1.04,-2.37,6.09,1.16,-273.3
0.59,-2.18,0.86,0.16,-0.94,1.15,-2.15,6.47,-8.98,-143.81
1.06,-0.39,-0.01,1.92,-2.28,1.23,0.92,3.61,11.43,140.37
3.09,-2.72,0.81,2.52,-2.79,-0.22,1.55,0.58,7.55,128.34
1.73,-1.46,-1.28,1.35,-2.45,-1.19,1.26,0.82,-2.13,-116.88
2.01,-0.01,-0.09,3.12,-2.67,0.39,-0.63,-7.54,9.37,121.47
2.18,-3.14,1.27,0.75,-2.13,0.91,-2.85,4.8,0.03,-172.46
2.5,-0.6,-0.74,1.46,-2.55,-0.84,-2.64,-2.1,6.5,-195.38
2.74,-1.49,0.62,2.38,-2.5,-0.39,1.53,-5.71,9.03,165.58
1.65,-2.85,-0.62,0.53,-0.73,-0.27,-1.48,-3.97,-7.33,-216.01
0.26,-1.43,1.46,1.77,-1.4,-1.52,-1.87,5.93,-0.1,-156.42
0.51,-1.0,1.06,2.56,-1.48,0.47,-0.31,1.9,8.48,103.71
3.13,-0.16,1.41,2.43,-0.63,0.62,-0.28,3.47,0.91,373.57
1.39,-2.77,1.09,1.61,-1.89,0.24,-2.51,6.02,-1.19,-162.72
3.04,-0.58,1.33,0.68,-2.39,-0.43,-2.03,-6.12,1.64,-21.77
1.71,-2.88,0.76,0.74,-2.39,0.05,1.29,4.93,-6.13,-41.25
0.65,-2.87,-1.16,2.96,-0.73,-1.12,-0.12,-2.08,-6.81,-136.94
1.54,-2.66,0.61,2.47,-2.79,-1.17,-0.75,0.74,-3.73,-157.56
0.35,-0.58,-1.41,1.57,-2.21,-0.5,-0.92,1.02,-3.84,-211.99
0.72,-1.94,-1.04,0.08,-0.73,-0.19,0.42,-7.45,-6.47,-153.55
2.18,-3.1,-0.5,0.88,-1.28,-1.44,1.38,-1.26,-8.2,-107.72
0.2,-3.02,-1.48,0.71,-0.03,-0.21,-2.6,-4.85,5.45,-368.41
1.53,-0.14,0.37,2.64,-0.42,-0.4,-2.58,-3.27,4.22,57.3
3.06,-0.47,-1.21,2.48,-2.69,1.21,-2.27,-4.38,6.62,6.3
0.06,-2.83,0.62,1.41,-1.66,1.49,0.46,2.59,-9.29,-25.78
1.7,-2.93,-0.1,1.66,-2.3,1.48,-2.43,2.27,-5.52,-167.3
2.0,-0.03,0.88,1.95,-2.53,-0.91,0.01,-4.78,9.61,78.5
1.44,-2.76,0.46,2.09,-0.76,-0.84,0.73,10.31,1.63,20.63
1.49,-0.08,1.01,2.57,-1.72,-0.37,-1.54,-4.97,6.93,77.92
1.4,-2.7,0.64,0.09,-2.49,1.35,-0.62,0.61,-7.32,-133.5
1.08,-2.68,-1.38,0.09,-0.46,-1.39,1.03,-8.27,3.04,-212.57
0.95,-0.32,1.17,2.73,-2.07,0.38,0.14,-4.34,6.2,170.74
0.11,-0.28,-1.47,1.56,-0.03,0.95,-2.11,12.16,-3.64,-72.77
0.57,-1.86,-0.51,1.07,-3.1,1.42,-2.68,1.22,-2.91,-291.64
1.71,-2.51,-1.49,1.27,-1.5,0.68,-3.01,-1.3,-4.72,-277.88
2.79,-0.47,-0.11,1.94,-1.14,0.1,-1.85,-11.09,5.37,72.19
1.86,-2.69,0.74,1.41,-0.01,0.63,-2.04,6.31,7.25,-5.73
0.18,-0.7,-0.36,2.72,-1.63,1.07,0.82,7.46,4.76,120.32
0.61,-2.52,1.01,1.53,-2.16,-0.47,-1.94,2.11,-4.39,-225.75
0.71,-2.17,-1.19,2.65,-0.48,-0.98,0.96,7.16,-6.87,-28.65
3.14,-0.17,0.98,2.76,-2.01,0.35,0.07,-2.63,-7.5,293.35
1.34,-2.51,0.65,0.08,-2.32,0.08,-1.53,0.22,-2.03,-241.22
2.69,-0.63,1.55,0.14,-0.58,1.37,-1.4,-13.13,-1.79,179.91
3.03,-1.15,-1.29,0.52,-2.86,-0.29,-1.77,-3.59,3.15,-218.3
2.9,-0.67,0.75,1.51,-1.08,0.66,-1.04,-13.37,-1.85,173.61
0.15,-1.21,1.01,3.1,-1.84,-1.56,1.55,7.84,2.11,68.75
2.77,-0.83,-0.51,2.28,-1.22,-0.27,0.94,-10.99,7.83,181.05
2.0,-2.3,-0.54,1.56,-0.41,-0.65,1.38,10.9,3.41,59.59
0.0,-2.82,-0.23,0.24,-0.4,-1.57,-0.13,-6.56,3.28,-281.32
1.72,-1.59,-0.21,2.38,-1.14,-1.01,0.71,8.03,9.02,49.27
0.74,-2.1,-0.1,0.08,-2.4,1.38,-1.66,-2.25,-3.91,-232.62
0.52,-1.98,-1.45,2.7,-1.76,-0.46,-0.83,-2.89,-5.98,-186.78
2.97,-1.77,0.63,0.85,-1.55,-1.1,0.58,1.18,10.06,34.95
1.43,-0.83,0.73,2.23,-0.33,-1.33,-1.39,-0.39,8.66,29.22
1.95,-0.07,0.31,3.07,-2.84,-1.33,0.22,-1.91,10.89,75.06
1.57,-0.21,-0.02,0.53,-2.31,1.31,-0.64,6.67,11.18,13.18
1.98,-0.56,1.06,2.76,-1.94,1.45,-0.31,-4.38,-1.16,254.39
2.95,-1.08,0.27,2.48,-0.29,0.16,-1.51,-8.72,-1.87,170.74
2.38,-1.83,-0.29,0.05,-2.63,1.24,-1.69,2.27,-0.51,-158.71
0.59,-1.46,0.16,0.38,-0.23,-0.62,0.81,13.35,-7.5,-21.2
2.88,-1.96,-0.67,0.99,-2.55,-0.44,-1.28,0.05,0.46,-173.61
2.06,-0.6,-1.53,3.01,-1.6,-1.05,1.17,2.39,10.65,83.65
2.98,-0.07,-0.53,1.45,-2.24,-0.11,0.67,-9.83,8.19,123.19
2.43,-1.05,-1.51,2.25,-2.02,-0.41,0.67,6.96,6.26,20.63
1.58,-0.47,1.32,0.44,-2.26,0.7,-2.36,0.72,8.72,-60.16
2.94,-1.04,0.45,3.1,-0.78,-0.73,0.49,-5.88,-3.89,253.82
